"gene","outer_folds_selected","selection_fraction","stability_tier"
"DENND2A",5,1,"core_consensus_5of5"
"FCRL1",5,1,"core_consensus_5of5"
"FCRL2",5,1,"core_consensus_5of5"
"MS4A1",5,1,"core_consensus_5of5"
"PLCG2",5,1,"core_consensus_5of5"
"RASL10B",5,1,"core_consensus_5of5"
"SCARF2",5,1,"core_consensus_5of5"
"SDR42E1",5,1,"core_consensus_5of5"
"TICRR",5,1,"core_consensus_5of5"
"TLR1",5,1,"core_consensus_5of5"
"TRIM71",5,1,"core_consensus_5of5"
"VARS2",5,1,"core_consensus_5of5"
"ALPK1",4,0.8,"high_stability_4of5"
"COL20A1",4,0.8,"high_stability_4of5"
"FBL",4,0.8,"high_stability_4of5"
"FOXK2",4,0.8,"high_stability_4of5"
"HROB",4,0.8,"high_stability_4of5"
"IGLV2-23",4,0.8,"high_stability_4of5"
"ITSN2",4,0.8,"high_stability_4of5"
"MIR29B2CHG",4,0.8,"high_stability_4of5"
"RELN",4,0.8,"high_stability_4of5"
"SLC29A4",4,0.8,"high_stability_4of5"
"TK1",4,0.8,"high_stability_4of5"
"TLR10",4,0.8,"high_stability_4of5"
"TPK1",4,0.8,"high_stability_4of5"
"ADAMTS7",3,0.6,"majority_stable_3of5"
"ASTN2",3,0.6,"majority_stable_3of5"
"BIRC5",3,0.6,"majority_stable_3of5"
"CPNE5",3,0.6,"majority_stable_3of5"
"CYLD",3,0.6,"majority_stable_3of5"
"DACT3",3,0.6,"majority_stable_3of5"
"ERAP2",3,0.6,"majority_stable_3of5"
"ERMN",3,0.6,"majority_stable_3of5"
"KIF5C",3,0.6,"majority_stable_3of5"
"NTN1",3,0.6,"majority_stable_3of5"
"PATL2",3,0.6,"majority_stable_3of5"
"PCDHA10",3,0.6,"majority_stable_3of5"
"PIMREG",3,0.6,"majority_stable_3of5"
"RAB37",3,0.6,"majority_stable_3of5"
"RHOH",3,0.6,"majority_stable_3of5"
"RPL32P1",3,0.6,"majority_stable_3of5"
"SIDT1",3,0.6,"majority_stable_3of5"
"SIX4",3,0.6,"majority_stable_3of5"
"SLC16A7",3,0.6,"majority_stable_3of5"
"SQLE",3,0.6,"majority_stable_3of5"
"TBKBP1",3,0.6,"majority_stable_3of5"
"TMEM97",3,0.6,"majority_stable_3of5"
"TTN",3,0.6,"majority_stable_3of5"
"TUBB",3,0.6,"majority_stable_3of5"
"UBE2O",3,0.6,"majority_stable_3of5"
"WAKMAR2",3,0.6,"majority_stable_3of5"
"BANK1",2,0.4,"repeated_2of5"
"BCL2L12",2,0.4,"repeated_2of5"
"BLK",2,0.4,"repeated_2of5"
"BYSL",2,0.4,"repeated_2of5"
"CDC6",2,0.4,"repeated_2of5"
"CDH24",2,0.4,"repeated_2of5"
"DGLUCY",2,0.4,"repeated_2of5"
"ERCC2",2,0.4,"repeated_2of5"
"EXTL3",2,0.4,"repeated_2of5"
"FCHO1",2,0.4,"repeated_2of5"
"FKBP4",2,0.4,"repeated_2of5"
"FPGT-TNNI3K",2,0.4,"repeated_2of5"
"HCP5",2,0.4,"repeated_2of5"
"IGF2",2,0.4,"repeated_2of5"
"IRF1-AS1",2,0.4,"repeated_2of5"
"ITGB2-AS1",2,0.4,"repeated_2of5"
"KCNG1",2,0.4,"repeated_2of5"
"KIAA1549",2,0.4,"repeated_2of5"
"KIF18B",2,0.4,"repeated_2of5"
"KLRD1",2,0.4,"repeated_2of5"
"LINC02362",2,0.4,"repeated_2of5"
"MARK4",2,0.4,"repeated_2of5"
"MEOX2",2,0.4,"repeated_2of5"
"MEX3A",2,0.4,"repeated_2of5"
"MIR155HG",2,0.4,"repeated_2of5"
"NAAA",2,0.4,"repeated_2of5"
"OGFOD3",2,0.4,"repeated_2of5"
"PAK4",2,0.4,"repeated_2of5"
"PCDHA9",2,0.4,"repeated_2of5"
"PCDHAC1",2,0.4,"repeated_2of5"
"RNF165",2,0.4,"repeated_2of5"
"RPS19",2,0.4,"repeated_2of5"
"SBK1",2,0.4,"repeated_2of5"
"SLAMF1",2,0.4,"repeated_2of5"
"SMPDL3A",2,0.4,"repeated_2of5"
"ST6GAL2",2,0.4,"repeated_2of5"
"SUPT5H",2,0.4,"repeated_2of5"
"THAP10",2,0.4,"repeated_2of5"
"TOMM40",2,0.4,"repeated_2of5"
"TRO",2,0.4,"repeated_2of5"
"UBE2J1",2,0.4,"repeated_2of5"
"VASH2",2,0.4,"repeated_2of5"
"XPO5",2,0.4,"repeated_2of5"
"ZC3H12D",2,0.4,"repeated_2of5"
"ZNF286A",2,0.4,"repeated_2of5"
"ZNF571-AS1",2,0.4,"repeated_2of5"
"ZNF579",2,0.4,"repeated_2of5"
"ZNF724",2,0.4,"repeated_2of5"
"ZNF850",2,0.4,"repeated_2of5"
"A2M-AS1",1,0.2,"single_fold_1of5"
"ABCD2",1,0.2,"single_fold_1of5"
"ABCF1",1,0.2,"single_fold_1of5"
"ADAM28",1,0.2,"single_fold_1of5"
"ALDH1A2",1,0.2,"single_fold_1of5"
"ALYREF",1,0.2,"single_fold_1of5"
"ANKRD22",1,0.2,"single_fold_1of5"
"APOL3",1,0.2,"single_fold_1of5"
"ARHGAP18",1,0.2,"single_fold_1of5"
"ARL6IP5",1,0.2,"single_fold_1of5"
"ARRDC5",1,0.2,"single_fold_1of5"
"ASIC1",1,0.2,"single_fold_1of5"
"BRPF3",1,0.2,"single_fold_1of5"
"BTLA",1,0.2,"single_fold_1of5"
"C19orf47",1,0.2,"single_fold_1of5"
"CACNA2D4",1,0.2,"single_fold_1of5"
"CASP17P",1,0.2,"single_fold_1of5"
"CAST",1,0.2,"single_fold_1of5"
"CBX7",1,0.2,"single_fold_1of5"
"CCAR2",1,0.2,"single_fold_1of5"
"CCDC88B",1,0.2,"single_fold_1of5"
"CCL19",1,0.2,"single_fold_1of5"
"CD22",1,0.2,"single_fold_1of5"
"CD27",1,0.2,"single_fold_1of5"
"CD3D",1,0.2,"single_fold_1of5"
"CD52",1,0.2,"single_fold_1of5"
"CD58",1,0.2,"single_fold_1of5"
"CD69",1,0.2,"single_fold_1of5"
"CD79A",1,0.2,"single_fold_1of5"
"CD8A",1,0.2,"single_fold_1of5"
"CD96",1,0.2,"single_fold_1of5"
"CECR2",1,0.2,"single_fold_1of5"
"CEP131",1,0.2,"single_fold_1of5"
"CLDN11",1,0.2,"single_fold_1of5"
"CLEC12A",1,0.2,"single_fold_1of5"
"COL4A4",1,0.2,"single_fold_1of5"
"COX17",1,0.2,"single_fold_1of5"
"CSNK2B",1,0.2,"single_fold_1of5"
"CXCL13",1,0.2,"single_fold_1of5"
"CXCL9",1,0.2,"single_fold_1of5"
"CXCR3",1,0.2,"single_fold_1of5"
"DDX51",1,0.2,"single_fold_1of5"
"DLC1",1,0.2,"single_fold_1of5"
"DLX6-AS1",1,0.2,"single_fold_1of5"
"DOK6",1,0.2,"single_fold_1of5"
"DRP2",1,0.2,"single_fold_1of5"
"DTHD1",1,0.2,"single_fold_1of5"
"DZIP1",1,0.2,"single_fold_1of5"
"E2F1",1,0.2,"single_fold_1of5"
"EML5",1,0.2,"single_fold_1of5"
"EPHB3",1,0.2,"single_fold_1of5"
"EPN2",1,0.2,"single_fold_1of5"
"FAM111A-DT",1,0.2,"single_fold_1of5"
"FAM171A2",1,0.2,"single_fold_1of5"
"FAM214A",1,0.2,"single_fold_1of5"
"FCMR",1,0.2,"single_fold_1of5"
"FCRL3",1,0.2,"single_fold_1of5"
"FIGNL2",1,0.2,"single_fold_1of5"
"FLT3",1,0.2,"single_fold_1of5"
"FOXC1",1,0.2,"single_fold_1of5"
"FOXM1",1,0.2,"single_fold_1of5"
"FZD2",1,0.2,"single_fold_1of5"
"GINS4",1,0.2,"single_fold_1of5"
"GMNN",1,0.2,"single_fold_1of5"
"GPC1",1,0.2,"single_fold_1of5"
"GPR155",1,0.2,"single_fold_1of5"
"GSK3A",1,0.2,"single_fold_1of5"
"GVINP1",1,0.2,"single_fold_1of5"
"GZMA",1,0.2,"single_fold_1of5"
"GZMK",1,0.2,"single_fold_1of5"
